# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_walking_rpy_validation.bag'
# timestamp tx ty tz qx qy qz qw
1341846702.6849 -0.4784 -2.8644 1.5137 -0.7799 -0.1828 0.2144 0.5589
1341846702.6949 -0.4782 -2.8640 1.5139 -0.7799 -0.1846 0.2149 0.5582
1341846702.7049 -0.4782 -2.8635 1.5139 -0.7796 -0.1857 0.2154 0.5580
1341846702.7149 -0.4782 -2.8631 1.5138 -0.7796 -0.1865 0.2149 0.5579
1341846702.7249 -0.4782 -2.8627 1.5138 -0.7798 -0.1879 0.2142 0.5574
1341846702.7350 -0.4783 -2.8623 1.5138 -0.7801 -0.1891 0.2134 0.5568
1341846702.7449 -0.4782 -2.8620 1.5139 -0.7802 -0.1913 0.2131 0.5561
1341846702.7549 -0.4783 -2.8616 1.5138 -0.7801 -0.1933 0.2135 0.5555
1341846702.7649 -0.4784 -2.8613 1.5139 -0.7799 -0.1950 0.2146 0.5547
1341846702.7749 -0.4784 -2.8610 1.5140 -0.7795 -0.1965 0.2157 0.5542
1341846702.7849 -0.4785 -2.8605 1.5140 -0.7789 -0.1979 0.2173 0.5540
1341846702.7950 -0.4786 -2.8602 1.5140 -0.7784 -0.1990 0.2185 0.5538
1341846702.8053 -0.4788 -2.8599 1.5140 -0.7776 -0.2001 0.2201 0.5540
1341846702.8149 -0.4788 -2.8595 1.5141 -0.7772 -0.2012 0.2206 0.5539
1341846702.8249 -0.4787 -2.8592 1.5144 -0.7769 -0.2020 0.2204 0.5541
1341846702.8351 -0.4787 -2.8588 1.5144 -0.7765 -0.2026 0.2204 0.5544
1341846702.8449 -0.4789 -2.8584 1.5144 -0.7759 -0.2035 0.2211 0.5546
1341846702.8549 -0.4790 -2.8580 1.5144 -0.7754 -0.2043 0.2220 0.5547
1341846702.8653 -0.4791 -2.8578 1.5144 -0.7749 -0.2054 0.2235 0.5545
1341846702.8749 -0.4792 -2.8576 1.5146 -0.7744 -0.2068 0.2257 0.5537
1341846702.8849 -0.4791 -2.8572 1.5147 -0.7740 -0.2080 0.2274 0.5532
1341846702.8949 -0.4792 -2.8568 1.5146 -0.7737 -0.2084 0.2291 0.5526
1341846702.9050 -0.4793 -2.8565 1.5147 -0.7740 -0.2079 0.2305 0.5519
1341846702.9149 -0.4793 -2.8559 1.5146 -0.7743 -0.2074 0.2305 0.5516
1341846702.9249 -0.4794 -2.8555 1.5146 -0.7747 -0.2073 0.2301 0.5513
1341846702.9349 -0.4795 -2.8551 1.5145 -0.7748 -0.2078 0.2298 0.5510
1341846702.9449 -0.4795 -2.8548 1.5145 -0.7748 -0.2086 0.2296 0.5508
1341846702.9573 -0.4796 -2.8546 1.5145 -0.7742 -0.2092 0.2300 0.5513
1341846702.9649 -0.4798 -2.8544 1.5144 -0.7738 -0.2092 0.2307 0.5515
1341846702.9752 -0.4798 -2.8541 1.5145 -0.7737 -0.2086 0.2316 0.5516
1341846702.9849 -0.4799 -2.8537 1.5145 -0.7740 -0.2074 0.2324 0.5513
1341846702.9971 -0.4798 -2.8534 1.5144 -0.7747 -0.2063 0.2326 0.5507
1341846703.0050 -0.4799 -2.8531 1.5144 -0.7752 -0.2050 0.2322 0.5506
1341846703.0149 -0.4798 -2.8526 1.5140 -0.7756 -0.2043 0.2297 0.5513
1341846703.0249 -0.4798 -2.8522 1.5144 -0.7758 -0.2026 0.2294 0.5517
1341846703.0350 -0.4798 -2.8520 1.5145 -0.7759 -0.2017 0.2276 0.5527
1341846703.0450 -0.4796 -2.8517 1.5145 -0.7760 -0.2004 0.2259 0.5537
1341846703.0549 -0.4798 -2.8513 1.5145 -0.7754 -0.1983 0.2258 0.5554
1341846703.0649 -0.4797 -2.8509 1.5145 -0.7753 -0.1967 0.2254 0.5562
1341846703.0749 -0.4797 -2.8505 1.5145 -0.7753 -0.1946 0.2252 0.5571
1341846703.0849 -0.4795 -2.8501 1.5147 -0.7754 -0.1936 0.2246 0.5575
1341846703.0949 -0.4795 -2.8496 1.5146 -0.7749 -0.1919 0.2257 0.5584
1341846703.1078 -0.4798 -2.8494 1.5144 -0.7748 -0.1892 0.2266 0.5591
1341846703.1149 -0.4791 -2.8494 1.5147 -0.7763 -0.1876 0.2225 0.5592
1341846703.1249 -0.4788 -2.8489 1.5146 -0.7767 -0.1851 0.2205 0.5602
1341846703.1350 -0.4790 -2.8485 1.5144 -0.7767 -0.1815 0.2191 0.5620
1341846703.1450 -0.4789 -2.8481 1.5143 -0.7766 -0.1787 0.2170 0.5638
1341846703.1558 -0.4788 -2.8477 1.5143 -0.7767 -0.1767 0.2154 0.5649
1341846703.1649 -0.4788 -2.8475 1.5141 -0.7771 -0.1750 0.2145 0.5652
1341846703.1750 -0.4784 -2.8473 1.5142 -0.7779 -0.1746 0.2132 0.5648
1341846703.1849 -0.4783 -2.8472 1.5140 -0.7781 -0.1743 0.2137 0.5644
1341846703.1949 -0.4783 -2.8469 1.5139 -0.7781 -0.1731 0.2138 0.5646
1341846703.2049 -0.4783 -2.8467 1.5139 -0.7786 -0.1713 0.2137 0.5647
1341846703.2149 -0.4782 -2.8463 1.5137 -0.7790 -0.1691 0.2123 0.5653
1341846703.2249 -0.4781 -2.8460 1.5136 -0.7798 -0.1670 0.2105 0.5654
1341846703.2349 -0.4780 -2.8457 1.5138 -0.7807 -0.1647 0.2077 0.5659
1341846703.2449 -0.4780 -2.8453 1.5137 -0.7807 -0.1628 0.2047 0.5675
1341846703.2549 -0.4781 -2.8449 1.5139 -0.7806 -0.1612 0.2029 0.5688
1341846703.2650 -0.4783 -2.8447 1.5140 -0.7798 -0.1602 0.2023 0.5704
1341846703.2749 -0.4785 -2.8445 1.5142 -0.7790 -0.1602 0.2025 0.5713
1341846703.2849 -0.4787 -2.8444 1.5144 -0.7783 -0.1599 0.2034 0.5721
1341846703.2949 -0.4788 -2.8443 1.5147 -0.7778 -0.1595 0.2044 0.5726
1341846703.3050 -0.4790 -2.8442 1.5149 -0.7773 -0.1587 0.2049 0.5733
1341846703.3149 -0.4790 -2.8439 1.5151 -0.7772 -0.1575 0.2044 0.5740
1341846703.3254 -0.4791 -2.8435 1.5153 -0.7777 -0.1559 0.2020 0.5746
1341846703.3372 -0.4790 -2.8430 1.5155 -0.7783 -0.1537 0.1991 0.5754
1341846703.3449 -0.4789 -2.8426 1.5158 -0.7789 -0.1511 0.1964 0.5761
1341846703.3549 -0.4789 -2.8423 1.5160 -0.7794 -0.1490 0.1941 0.5768
1341846703.3651 -0.4790 -2.8418 1.5162 -0.7794 -0.1470 0.1924 0.5778
1341846703.3750 -0.4791 -2.8416 1.5164 -0.7799 -0.1461 0.1911 0.5778
1341846703.3849 -0.4793 -2.8413 1.5166 -0.7801 -0.1452 0.1903 0.5780
1341846703.3949 -0.4795 -2.8408 1.5166 -0.7804 -0.1438 0.1889 0.5785
1341846703.4050 -0.4797 -2.8402 1.5168 -0.7808 -0.1416 0.1872 0.5790
1341846703.4149 -0.4797 -2.8398 1.5169 -0.7819 -0.1390 0.1842 0.5791
1341846703.4249 -0.4797 -2.8393 1.5169 -0.7836 -0.1365 0.1800 0.5787
1341846703.4363 -0.4795 -2.8391 1.5171 -0.7862 -0.1332 0.1747 0.5776
1341846703.4450 -0.4794 -2.8384 1.5171 -0.7872 -0.1294 0.1699 0.5785
1341846703.4549 -0.4794 -2.8380 1.5172 -0.7879 -0.1261 0.1664 0.5793
1341846703.4649 -0.4793 -2.8375 1.5173 -0.7884 -0.1232 0.1637 0.5801
1341846703.4750 -0.4796 -2.8374 1.5173 -0.7886 -0.1202 0.1632 0.5806
1341846703.4849 -0.4795 -2.8370 1.5176 -0.7887 -0.1182 0.1613 0.5813
1341846703.4949 -0.4798 -2.8366 1.5177 -0.7884 -0.1155 0.1605 0.5825
1341846703.5049 -0.4803 -2.8364 1.5177 -0.7884 -0.1122 0.1594 0.5834
1341846703.5149 -0.4807 -2.8362 1.5180 -0.7888 -0.1095 0.1567 0.5842
1341846703.5249 -0.4810 -2.8359 1.5182 -0.7892 -0.1071 0.1534 0.5849
1341846703.5349 -0.4814 -2.8356 1.5183 -0.7895 -0.1051 0.1502 0.5857
1341846703.5450 -0.4815 -2.8353 1.5185 -0.7906 -0.1033 0.1463 0.5856
1341846703.5549 -0.4819 -2.8350 1.5185 -0.7921 -0.1011 0.1425 0.5849
1341846703.5650 -0.4826 -2.8347 1.5185 -0.7928 -0.0978 0.1406 0.5850
1341846703.5754 -0.4829 -2.8344 1.5187 -0.7936 -0.0961 0.1372 0.5849
1341846703.5850 -0.4836 -2.8341 1.5188 -0.7944 -0.0938 0.1343 0.5849
1341846703.5949 -0.4844 -2.8340 1.5189 -0.7949 -0.0925 0.1316 0.5851
1341846703.6053 -0.4852 -2.8338 1.5190 -0.7952 -0.0911 0.1288 0.5855
1341846703.6149 -0.4861 -2.8338 1.5188 -0.7956 -0.0912 0.1250 0.5857
1341846703.6250 -0.4871 -2.8334 1.5194 -0.7949 -0.0884 0.1237 0.5873
1341846703.6350 -0.4881 -2.8334 1.5197 -0.7946 -0.0866 0.1216 0.5885
1341846703.6450 -0.4893 -2.8333 1.5198 -0.7942 -0.0843 0.1203 0.5896
1341846703.6550 -0.4902 -2.8332 1.5200 -0.7952 -0.0821 0.1179 0.5891
1341846703.6650 -0.4907 -2.8331 1.5204 -0.7967 -0.0799 0.1133 0.5882
1341846703.6750 -0.4917 -2.8330 1.5205 -0.7976 -0.0773 0.1104 0.5880
1341846703.6849 -0.4925 -2.8329 1.5207 -0.7985 -0.0747 0.1065 0.5877
1341846703.6951 -0.4935 -2.8327 1.5207 -0.7991 -0.0722 0.1022 0.5881
1341846703.7051 -0.4947 -2.8325 1.5208 -0.7992 -0.0702 0.0985 0.5887
1341846703.7149 -0.4958 -2.8324 1.5210 -0.7990 -0.0685 0.0955 0.5897
1341846703.7250 -0.4971 -2.8327 1.5210 -0.7994 -0.0667 0.0932 0.5898
1341846703.7350 -0.4981 -2.8324 1.5215 -0.7980 -0.0643 0.0913 0.5923
1341846703.7449 -0.4996 -2.8319 1.5215 -0.7960 -0.0616 0.0918 0.5951
1341846703.7549 -0.5003 -2.8324 1.5221 -0.7972 -0.0596 0.0872 0.5945
1341846703.7660 -0.5015 -2.8321 1.5223 -0.7966 -0.0563 0.0848 0.5958
1341846703.7749 -0.5030 -2.8315 1.5220 -0.7960 -0.0527 0.0844 0.5971
1341846703.7850 -0.5042 -2.8313 1.5221 -0.7971 -0.0497 0.0804 0.5964
1341846703.7949 -0.5055 -2.8310 1.5220 -0.7977 -0.0471 0.0755 0.5965
1341846703.8056 -0.5066 -2.8305 1.5218 -0.7984 -0.0452 0.0706 0.5962
1341846703.8149 -0.5081 -2.8301 1.5218 -0.7988 -0.0429 0.0666 0.5963
1341846703.8249 -0.5092 -2.8303 1.5215 -0.8005 -0.0426 0.0618 0.5946
1341846703.8350 -0.5105 -2.8301 1.5214 -0.8014 -0.0409 0.0586 0.5939
1341846703.8507 -0.5118 -2.8299 1.5215 -0.8018 -0.0389 0.0559 0.5937
1341846703.8549 -0.5133 -2.8294 1.5214 -0.8016 -0.0359 0.0534 0.5943
1341846703.8650 -0.5146 -2.8290 1.5215 -0.8013 -0.0328 0.0511 0.5952
1341846703.8750 -0.5160 -2.8287 1.5216 -0.8012 -0.0298 0.0487 0.5956
1341846703.8849 -0.5174 -2.8284 1.5218 -0.8009 -0.0273 0.0465 0.5963
1341846703.8949 -0.5190 -2.8278 1.5220 -0.8003 -0.0246 0.0445 0.5974
1341846703.9049 -0.5205 -2.8269 1.5225 -0.7994 -0.0209 0.0429 0.5990
1341846703.9149 -0.5220 -2.8267 1.5227 -0.7994 -0.0196 0.0408 0.5990
1341846703.9249 -0.5235 -2.8261 1.5227 -0.7988 -0.0179 0.0389 0.6000
1341846703.9349 -0.5252 -2.8255 1.5228 -0.7981 -0.0163 0.0371 0.6011
1341846703.9452 -0.5268 -2.8249 1.5230 -0.7975 -0.0143 0.0351 0.6021
1341846703.9549 -0.5285 -2.8245 1.5232 -0.7974 -0.0121 0.0332 0.6024
1341846703.9648 -0.5301 -2.8239 1.5234 -0.7969 -0.0100 0.0312 0.6032
1341846703.9749 -0.5318 -2.8232 1.5235 -0.7964 -0.0081 0.0290 0.6040
1341846703.9849 -0.5333 -2.8225 1.5236 -0.7958 -0.0064 0.0269 0.6049
1341846703.9948 -0.5350 -2.8219 1.5237 -0.7959 -0.0047 0.0249 0.6049
1341846704.0049 -0.5366 -2.8211 1.5238 -0.7956 -0.0034 0.0231 0.6054
1341846704.0149 -0.5384 -2.8205 1.5240 -0.7956 -0.0020 0.0217 0.6055
1341846704.0249 -0.5401 -2.8198 1.5241 -0.7954 -0.0011 0.0203 0.6057
1341846704.0353 -0.5417 -2.8188 1.5242 -0.7950 -0.0001 0.0189 0.6063
1341846704.0449 -0.5435 -2.8179 1.5245 -0.7950 0.0007 0.0183 0.6063
1341846704.0549 -0.5451 -2.8170 1.5244 -0.7954 0.0016 0.0165 0.6059
1341846704.0649 -0.5470 -2.8159 1.5244 -0.7953 0.0027 0.0150 0.6061
